movie_title,director_name,duration,actor_1_name,actor_2_name,actor_3_name,gross,genres,plot_keywords,language,country,content_rating,budget,imdb_score,aspect_ratio
Osama ,Siddiq Barmak,83,Marina Golbahari,Zubaida Sahar,Mohamad Haref Harati,1127331,Drama,boy|girl|hair|school|taliban,Dari,Afghanistan,PG-13,46000,7.4,1.85
Nine Queens ,Fabián Bielinsky,114,Ricardo Darín,Gastón Pauls,Leticia Brédice,1221261,Crime|Drama|Thriller,con artist|hotel|partner|scam|stamp,Spanish,Argentina,R,1500000,7.9,1.85
The Holy Girl ,Lucrecia Martel,106,Mía Maestro,Mercedes Morán,María Alche,304124,Drama,16 year old|doctor|hotel|tinnitus|title directed by female,Spanish,Argentina,R,1400000,6.7,1.85
The Secret in Their Eyes ,Juan José Campanella,129,Ricardo Darín,Soledad Villamil,Guillermo Francella,20167424,Drama|Mystery|Thriller,investigation|justice|murder|suspect|tension,Spanish,Argentina,R,2000000,8.2,2.35
Knock Off ,Hark Tsui,91,Paul Sorvino,Lela Rochon,Ray Nicholas,10076136,Action|Comedy|Thriller,cia|hong kong|market|undercover|van,English,Aruba,R,35000000,4.8,2.35
Adore ,Anne Fontaine,112,Robin Wright,Naomi Watts,Ben Mendelsohn,317125,Drama|Romance,beach|friend|friendship|happiness|neighbor,English,Australia,R,16000000,6.2,2.35
Australia ,Baz Luhrmann,165,Essie Davis,Bryan Brown,Eddie Baroo,49551662,Adventure|Drama|Romance|War,australia|cattle|darwin|drover|japanese,English,Australia,PG-13,130000000,6.6,2.35
Babe: Pig in the City ,George Miller,97,Adam Goldberg,Elizabeth Daily,Glenne Headly,18318000,Adventure|Comedy|Drama|Family|Fantasy,animal|farm|farmer|hotel|pig,English,Australia,G,80000000,5.8,1.85
Babe ,Chris Noonan,91,Miriam Margolyes,Christine Cavanaugh,Roscoe Lee Browne,66600000,Comedy|Drama|Family,dog|farmer|pig|sheep|sheepdog,English,Australia,G,30000000,6.8,1.85
Bran Nue Dae ,Rachel Perkins,88,Deborah Mailman,Magda Szubanski,Jessica Mauboy,110029,Comedy|Drama|Musical,australia|journey|love|priest|traveling,English,Australia,PG-13,6500000,6.3,2.35
Critical Care ,Sidney Lumet,107,Kyra Sedgwick,Anne Bancroft,Albert Brooks,141853,Comedy|Drama,half sister|hospital|latex gloves|medicine|nun,English,Australia,R,12000000,6,1.85
Crocodile Dundee II ,John Cornell,108,Paul Hogan,Linda Kozlowski,John Meillon,109306210,Action|Adventure|Comedy,australia|australian|crime boss|crocodile|gangster,English,Australia,PG,15800000,5.5,2.35
Crocodile Dundee in Los Angeles ,Simon Wincer,92,Jere Burns,Paul Hogan,Linda Kozlowski,25590119,Adventure|Comedy|Crime,boat|crocodile|garbage can|knife|paramount pictures,English,Australia,PG,21150000,4.8,1.85
Crocodile Dundee ,Peter Faiman,93,Paul Hogan,Linda Kozlowski,David Gulpilil,174635000,Adventure|Comedy,australian outback|crocodile|female reporter|journalist|new york city,English,Australia,PG-13,8800000,6.5,2.35
Dark City ,Alex Proyas,111,Rufus Sewell,William Hurt,Bruce Spence,14337579,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,memory|murder|neo noir|retrofuturism|tech noir,English,Australia,R,27000000,7.7,2.35
Daybreakers ,Michael Spierig,98,Jay Laga'aia,Damien Garvey,Tiffany Lamb,29975979,Action|Horror|Sci-Fi|Thriller,blood|rationing|vampire|vampire society|year 2019,English,Australia,R,20000000,6.5,2.35
Disturbing Behavior ,David Nutter,84,Bruce Greenwood,Ethan Embry,Katharine Isabelle,17411331,Horror|Mystery|Sci-Fi|Thriller,blue ribbon|high school|jacket|jock|yogurt,English,Australia,R,15000000,5.5,1.85
Fortress ,Stuart Gordon,95,Christopher Lambert,Kurtwood Smith,Clifton Collins Jr.,6739141,Action|Crime|Sci-Fi|Thriller,escape|future|population control|prison|prisoner,English,Australia,R,8000000,5.9,1.85
Happy Feet 2 ,George Miller,100,Robin Williams,Brad Pitt,Common,63992328,Animation|Comedy|Family|Musical,3d|antarctica|krill|penguin|sequel,English,Australia,PG,135000000,5.9,2.35
House of Wax ,Jaume Collet-Serra,108,Robert Ri'chard,Paris Hilton,Brian Van Holt,32048809,Horror,brother sister relationship|group of friends|male nudity|twin|wax,English,Australia,R,30000000,5.3,1.85
