movie_title,director_name,budget,content_rating,duration,actor_1_name,actor_2_name,actor_3_name,gross,genres,plot_keywords,imdb_score
102 Dalmatians ,Kevin Lima,85000000,G,100,Ioan Gruffudd,Eric Idle,Jim Carter,66941559,Adventure|Comedy|Family,dog|parole|parole officer|prison|puppy,4.8
A Bug's Life ,John Lasseter,120000000,G,95,Kevin Spacey,Madeline Kahn,John Ratzenberger,162792677,Adventure|Animation|Comedy|Family|Fantasy,ant|circus|grasshopper|misunderstanding|overhearing,7.2
Aladdin ,Ron Clements,28000000,G,90,Robin Williams,Frank Welker,Scott Weinger,217350219,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,arab|genie|magic|princess|reference to a thousand and one nights,8
Alvin and the Chipmunks: Chipwrecked ,Mike Mitchell,75000000,G,87,Amy Poehler,Jesse McCartney,Lauren Gottlieb,133103929,Adventure|Animation|Comedy|Family|Fantasy|Music,chipmunk|cruise ship|football ball|overboard|tennis ball,4.4
Anastasia ,Don Bluth,50000000,G,94,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,58297830,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,amnesia|reference to anastasia romanov|romanov|russia|russian revolution,7.1
Benji ,Joe Camp,500000,G,86,Frances Bavier,Peter Breck,Edgar Buchanan,39552600,Adventure|Family|Romance,animal abuse|cat|dog|dog movie|tween girl,6.1
Cars 2 ,John Lasseter,200000000,G,106,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,191450875,Adventure|Animation|Comedy|Family|Sport,best friend|car race|conspiracy|gadget car|spy,6.3
Cars ,John Lasseter,120000000,G,117,John Ratzenberger,Cheech Marin,George Carlin,244052771,Adventure|Animation|Comedy|Family|Sport,car|desert|route 66|tow truck|truck,7.2
Cats Don't Dance ,Mark Dindal,32000000,G,75,George Kennedy,Frank Welker,Hal Holbrook,3562749,Animation|Comedy|Family|Fantasy|Musical,animal|cat|child star|hollywood|star,6.9
Chicken Little ,Mark Dindal,150000000,G,81,Catherine O'Hara,Fred Willard,Amy Sedaris,135381507,Adventure|Animation|Comedy|Family|Sci-Fi,alien invasion|chicken|fish|friend|panic,5.8
