movie_title,director_name,budget,content_rating,duration,actor_1_name,actor_2_name,actor_3_name,gross,genres,Action Genre,Adventure Genre,Animation Genre,Biography Genre,Comedy Genre,Crime Genre,Documentary Genre,Drama Genre,Family Genre,Fantasy Genre,Horror Genre,Musical Genre,Mystery Genre,Romance Genre,Sci-Fi Genre,Sport Genre,Thriller Genre,War Genre,Western Genre,plot_keywords,imdb_score
Batman & Robin ,Joel Schumacher,125000000,3,125,Michael Gough,Vivica A. Fox,John Glover,107285004,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dog|parole|parole officer|prison|puppy,4.8
Batman Returns ,Tim Burton,80000000,3,126,Michael Gough,Vincent Schiavelli,Andrew Bryniarski,162831698,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ant|circus|grasshopper|misunderstanding|overhearing,7.2
Excessive Force ,Jon Hess,3000000,4,87,Burt Young,Ian Gomez,Thomas Ian Griffith,1200000,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arab|genie|magic|princess|reference to a thousand and one nights,8
Kill Bill: Vol. 1 ,Quentin Tarantino,30000000,4,111,David Carradine,Vivica A. Fox,Chiaki Kuriyama,70098138,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chipmunk|cruise ship|football ball|overboard|tennis ball,4.4
The Man with the Iron Fists ,RZA,15000000,4,107,Rick Yune,RZA,Daniel Wu,15608545,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amnesia|reference to anastasia romanov|romanov|russia|russian revolution,7.1
Indiana Jones and the Temple of Doom ,Steven Spielberg,28000000,2,118,Harrison Ford,Amrish Puri,Kate Capshaw,179870271,Action|Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,animal abuse|cat|dog|dog movie|tween girl,6.1
Raiders of the Lost Ark ,Steven Spielberg,18000000,2,115,Harrison Ford,Karen Allen,William Hootkins,242374454,Action|Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,best friend|car race|conspiracy|gadget car|spy,6.3
Batman Begins ,Christopher Nolan,150000000,3,128,Christian Bale,Liam Neeson,Morgan Freeman,205343774,Action|Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,car|desert|route 66|tow truck|truck,7.2
Batman ,Tim Burton,35000000,3,126,Michael Gough,Jack Palance,William Hootkins,251188924,Action|Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,animal|cat|child star|hollywood|star,6.9
DOA: Dead or Alive ,Corey Yuen,21000000,3,87,Steve Howey,Holly Valance,Sarah Carter,480314,Action|Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alien invasion|chicken|fish|friend|panic,5.8
