budget,content_rating,duration,gross
125000000,3,125,107285004
80000000,3,126,162831698
3000000,4,87,1200000
30000000,4,111,70098138
15000000,4,107,15608545
28000000,2,118,179870271
18000000,2,115,242374454
150000000,3,128,205343774
35000000,3,126,251188924
21000000,3,87,480314
100000000,3,101,72660029
100000000,3,101,72660029
35000000,3,132,56876365
4500000,4,103,8691
70000000,2,95,13596911
165000000,2,102,222487711
70000000,2,90,23159305
90000000,2,94,196573705
150000000,2,90,165230261
145000000,2,95,143523463
130000000,2,92,215395021
150000000,2,89,179982968
145000000,2,102,176997107
80000000,2,115,195329763
130000000,2,90,149234747
150000000,2,88,119420252
30000000,1,82,80920948
150000000,2,88,21379315
175000000,2,94,198332128
750000,4,86,5518918
30000000,3,79,31743332
92000000,2,115,261437578
80000000,2,101,55673333
120000000,2,95,84037039
5000000,2,82,9628751
75000000,2,94,22751979
150000000,3,115,82161969
137000000,3,106,32131830
100000000,3,122,24985612
110000000,2,120,24004159
98000000,3,124,11000000
80000000,3,110,130313314
50000000,3,114,60470220
50000000,3,107,80270227
75000000,3,116,45434443
70000000,4,100,17218080
9400000,1,197,46300000
45000000,2,101,8129455
60000000,2,89,66734992
33000000,3,95,205399422
120000000,3,107,100685880
25000000,4,98,44455658
26000000,2,102,47285499
40000000,4,104,21413502
90000000,3,129,64685359
92000000,3,94,125305545
2000000,3,91,124494
34000000,4,102,11227940
48000000,4,114,60652036
110000000,2,108,250863268
140000000,3,88,190418803
79000000,2,94,103812241
17000000,2,96,42660000
65000000,2,101,28045540
225000000,3,106,179020854
100000000,2,131,173005002
55000000,2,92,105263257
26000000,2,100,23222861
75000000,2,110,97360069
38000000,2,100,85570368
38000000,2,84,111760631
27000000,2,89,38536376
35000000,2,88,112692062
25000000,2,88,78656813
40000000,3,108,53955614
25000000,3,99,11100000
70000000,3,130,50016394
25000000,3,94,79817937
88000000,3,118,37899638
51000000,3,107,14375181
3000000,3,81,3293258
70000000,3,98,74329966
35000000,2,110,16295774
58000000,4,108,363024263
70000000,3,112,70224196
65000000,3,136,93771072
130000000,3,117,180191634
175000000,3,123,161087183
135000000,3,112,81638674
125000000,3,101,190871240
125000000,3,101,190871240
26000000,2,94,36985501
70000000,3,116,30157016
70000000,3,97,33105600
85000000,3,104,47592825
55000000,3,110,56932305
34000000,4,124,23360779
44000000,3,130,183875760
25000000,4,105,17100000
25000000,3,93,32055248
125000000,3,129,186830669
90000000,3,128,209019489
50000000,3,110,18472363
80000000,3,117,116643346
45000000,3,111,46815748
87000000,3,101,26082914
25000000,4,116,121248145
40000000,4,116,30199105
60000000,4,124,54910560
9000000,3,106,6262942
125000000,3,138,101160529
175000000,3,128,38297305
170000000,3,132,155111815
115000000,3,120,47952020
94000000,3,192,377019252
94000000,3,172,340478898
200000000,3,156,105219735
20000000,4,107,305070
150000000,3,138,93926386
58000000,3,125,49875589
130000000,4,194,47396698
20000000,3,107,36874745
48000000,3,155,165500000
180000000,3,110,124051759
55000000,2,188,134218018
40000000,4,117,72455275
170000000,3,130,208543795
80000000,4,177,17593391
45000000,3,111,92001027
80000000,3,114,32885565
45000000,3,113,21009180
160000000,3,98,60655503
110000000,3,114,155181732
140000000,3,130,182618434
92000000,3,113,241688385
75000000,3,124,68473360
85000000,4,124,172620724
80000000,4,118,94822707
25000000,4,117,51533608
40000000,4,139,50859889
12000000,4,110,70011073
38000000,3,110,623374
780000,3,90,1310270
100000000,2,104,75030163
50000000,2,93,39177541
225000000,2,150,141614023
150000000,2,103,131564731
150000000,2,109,63143812
180000000,2,97,241407328
45000000,2,93,101702060
65000000,2,98,67128202
90000000,2,114,50628009
135000000,2,107,77564037
190000000,2,130,93417865
35000000,2,83,11631245
80000000,3,130,69102910
18000000,2,103,26400000
18000000,2,108,6000000
35000000,2,101,6448817
100000000,3,121,184031112
125000000,3,106,163192114
125000000,3,106,163192114
57000000,3,103,51317350
140000000,3,126,31141074
185000000,3,122,317011114
48000000,3,127,197171806
95000000,3,117,65653758
300000000,3,169,309404152
225000000,3,151,423032628
250000000,3,136,241063875
140000000,3,143,305388685
95000000,3,102,17176900
230000000,3,153,262030663
55000000,3,104,25040293
90000000,3,106,27356090
70000000,3,99,18821279
170000000,3,112,206360018
150000000,3,115,181015141
160000000,3,123,46978995
150000000,3,99,83640426
25000000,4,92,1550000
85000000,3,120,75754670
65000000,4,122,52397389
145000000,3,112,102176165
200000000,3,116,90755643
200000000,3,135,373377893
139000000,3,121,403706375
115000000,2,136,474544677
115000000,2,142,310675583
11000000,2,125,460935665
18000000,2,127,290158751
32500000,2,134,309125409
237000000,3,178,760505847
6000000,3,107,869325
225000000,3,143,291021565
113000000,3,140,380262555
200000000,3,142,202853933
78000000,3,110,66462600
15000000,4,101,12801190
45000000,2,100,9353573
22000000,3,104,5974653
30000000,3,95,35927406
18000000,3,101,70360285
60000000,3,101,43060566
7500000,3,100,12610552
150000000,3,119,179883016
200000000,3,149,233914986
50000000,4,102,62318875
35000000,4,92,45802315
40000000,3,109,13838130
115000000,3,100,131144183
98000000,3,130,202007640
60000000,3,100,90341670
85000000,4,102,32694788
25000000,3,85,80034302
45000000,4,106,11146409
30000000,3,89,21426805
190000000,3,123,202351611
45000000,3,89,65557989
25000000,3,97,31526393
50000000,3,109,81022333
120000000,3,124,89021735
70000000,2,106,37760080
35000000,2,118,75668868
110000000,3,120,66002193
65000000,3,144,56083966
258000000,3,156,336530303
54000000,2,116,108200000
40000000,3,125,26616999
126000000,3,136,35799026
68000000,3,116,61355436
55000000,3,134,37600435
9000000,2,119,25000000
11000000,2,116,78900000
17000000,2,105,76400000
170000000,2,125,172051787
200000000,3,158,166112167
130000000,3,100,60522097
250000000,3,141,458991599
250000000,3,183,330249062
44000000,3,119,21471685
250000000,3,147,407197282
140000000,3,124,176636816
170000000,3,136,259746958
40000000,3,177,27400000
178000000,3,113,100189501
120000000,3,100,56114221
200000000,3,123,116593191
170000000,3,121,333130696
165000000,3,120,102315545
75000000,3,154,306124059
200000000,3,124,312057433
200000000,3,195,408992272
140000000,3,126,318298180
263700000,3,132,73058679
176000000,3,127,47375327
190000000,3,131,101785482
190000000,3,132,228756232
150000000,3,127,257704099
209000000,3,169,200069408
155000000,3,126,89732035
200000000,3,118,125320003
220000000,3,173,623279547
150000000,3,135,134518390
73000000,3,129,229074524
80000000,3,96,56684819
80000000,3,116,19480739
210000000,3,165,245428137
195000000,3,154,352358779
200000000,3,150,402076689
150000000,3,144,318759914
30000000,3,100,11576087
178000000,3,144,154985087
160000000,3,132,146405371
75000000,3,104,157299717
18500000,4,154,85200000
130000000,2,92,131920333
27800000,2,107,55210049
30000000,2,110,74888996
58000000,2,103,70117571
140000000,3,153,201573391
209000000,3,131,65173160
130000000,3,122,122512052
175000000,3,118,150167630
60000000,3,109,55092830
160000000,3,148,292568851
85000000,3,88,80170146
93000000,3,92,181166115
150000000,3,124,652177271
100000000,3,119,180011740
100000000,3,119,180011740
40000000,3,119,25335935
185000000,3,122,130468626
60000000,3,116,43119879
135000000,3,121,31704416
38000000,3,112,34912982
105000000,3,134,57637485
60000000,3,135,31111260
125000000,3,124,186739919
120000000,3,138,132550960
175000000,3,176,88246220
50000000,4,101,25407250
40000000,4,107,52000688
21000000,2,136,46700000
30000000,2,135,122012643
116000000,3,108,67155742
110000000,3,129,134520804
145000000,3,133,209364921
125000000,3,123,215397307
150000000,3,124,133382309
80000000,3,110,180965237
65000000,3,130,90454043
125000000,3,135,113165635
90000000,3,131,39292022
70000000,3,132,141204016
70000000,4,124,84049211
90000000,4,128,100012500
55000000,4,133,68750000
50000000,4,101,38590500
92000000,4,103,85017401
80000000,4,113,102981571
75000000,4,136,134006721
63000000,4,87,53715611
44000000,4,96,150415432
18000000,2,98,8000000
75000000,2,129,45356386
100000000,3,136,67286731
215000000,3,150,89289910
17500000,2,80,51053787
73000000,2,97,107225164
130000000,2,95,148337537
74000000,2,91,336029560
88000000,3,106,78747585
30000000,4,129,537580
25000000,4,134,56505065
58800000,4,133,350123553
50000000,4,139,20389967
1100000,4,92,11806119
40000000,4,121,125069696
10000000,3,81,16033556
40000000,3,100,19118247
40000000,3,102,90835030
18000000,3,81,26906039
25000000,3,86,38230435
90000000,3,113,100018837
15000000,4,100,20566327
30000000,4,98,32774834
92000000,4,121,110416702
30000000,2,94,71038190
26000000,2,91,20819129
63000000,3,94,213079163
30000000,3,99,117559438
32000000,3,113,37911876
50000000,3,107,126088877
20000000,3,91,8104069
35000000,3,87,34507079
26000000,3,111,91457688
8200000,3,84,27979400
45000000,3,115,48472213
100000000,3,116,119219978
40000000,3,84,21176322
75000000,3,104,78009155
42000000,4,109,138447667
50000000,4,112,191616238
10000000,4,100,29392418
14000000,4,105,234760500
37000000,4,107,44867349
28000000,4,103,28751715
3000000,4,84,10017041
27000000,4,117,87341380
43000000,4,123,159578352
58000000,3,97,28328132
25000000,3,95,5654777
61000000,4,109,75573300
19000000,4,119,65807024
33000000,4,101,51758599
68000000,4,105,35324232
45000000,4,91,20400913
35000000,2,94,33357476
18000000,3,114,119938730
20000000,3,107,1183354
27000000,4,148,54200000
100000000,2,105,103738726
45000000,3,109,106807667
25000000,3,99,134141530
120000000,3,126,186336103
40000000,3,91,26404753
15000000,4,107,28014536
120000000,3,119,98780042
20000000,2,94,13801755
65000000,3,93,68208190
24000000,3,88,20218
75000000,3,116,30013346
84000000,3,116,53215979
58000000,3,111,90356857
90000000,3,90,226138454
140000000,3,91,140080850
42000000,4,125,15738632
7000000,4,96,20257000
14000000,4,95,25482931
130000000,4,147,138396624
28000000,4,100,153665036
55000000,4,104,42610000
30000000,4,126,38413606
25000000,4,97,41067398
8000000,4,79,2275557
55000000,4,97,63408614
13000000,4,91,27052167
20000000,4,101,117224271
10000000,3,109,33000000
9000000,4,96,27445
20000000,2,93,11784000
28000000,2,94,24268828
85000000,2,82,43575716
60000000,2,87,93375151
52000000,3,104,23020488
130000000,3,96,33592415
60000000,3,112,31494270
144000000,3,116,118099659
65000000,3,121,29655590
1000000,4,82,12996
30000000,3,99,17266505
27000000,4,82,31768374
2300000,4,96,792966
25000000,3,88,25615792
3500000,3,91,96793
117000000,3,117,76418654
40000000,3,110,67061228
65000000,3,103,54758461
