budget,G Rating,PG Rating,PG-13 Rating,R Rating,NC-17 Rating,Not Rated,duration,gross
85000000,1,0,0,0,0,0,100,66941559
120000000,1,0,0,0,0,0,95,162792677
28000000,1,0,0,0,0,0,90,217350219
75000000,1,0,0,0,0,0,87,133103929
50000000,1,0,0,0,0,0,94,58297830
500000,1,0,0,0,0,0,86,39552600
200000000,1,0,0,0,0,0,106,191450875
120000000,1,0,0,0,0,0,117,244052771
32000000,1,0,0,0,0,0,75,3562749
150000000,1,0,0,0,0,0,81,135381507
50000000,1,0,0,0,0,0,78,58336565
25000000,1,0,0,0,0,0,143,5000000
20000000,1,0,0,0,0,0,77,7382993
5000000,1,0,0,0,0,0,77,19421271
80000000,1,0,0,0,0,0,74,60507228
2280000,1,0,0,0,0,0,120,76400000
9000000,1,0,0,0,0,0,181,50000000
94000000,1,0,0,0,0,0,100,380838870
3977000,1,0,0,0,0,0,226,198655278
30000000,1,0,0,0,0,0,102,79566871
50000000,1,0,0,0,0,0,101,66002004
11000000,1,0,0,0,0,0,112,90556401
9400000,1,0,0,0,0,0,197,46300000
30000000,1,0,0,0,0,0,82,80920948
14000000,1,0,0,0,0,0,82,25571351
13000000,1,0,0,0,0,0,115,73000942
10000000,1,0,0,0,0,0,101,17655201
3800000,1,0,0,0,0,0,152,14873
6000000,1,0,0,0,0,0,139,102300000
1500000,1,0,0,0,0,0,87,163245
200000000,1,0,0,0,0,0,104,268488329
115000000,1,0,0,0,0,0,92,289907418
90000000,1,0,0,0,0,0,88,120618403
24000000,1,0,0,0,0,0,87,16290976
17000000,1,0,0,0,0,0,170,72000000
2600000,1,0,0,0,0,0,88,84300000
55000000,1,0,0,0,0,0,84,141600000
20000000,1,0,0,0,0,0,68,18081626
15000000,1,0,0,0,0,0,103,26161406
150000000,1,0,0,0,0,0,111,206435493
23000000,1,0,0,0,0,0,82,36696761
20000000,1,0,0,0,0,0,72,48423368
103000000,1,0,0,0,0,0,101,131536019
90000000,1,0,0,0,0,0,96,143618384
2000000,1,0,0,0,0,0,83,184925485
37000000,1,0,0,0,0,0,81,30105968
80000000,1,0,0,0,0,0,83,73215310
17000000,1,0,0,0,0,0,73,11634458
35000000,1,0,0,0,0,0,88,16988996
100000000,1,0,0,0,0,0,78,89296573
20000000,1,0,0,0,0,0,225,8000000
100000000,1,0,0,0,0,0,91,100117603
20000000,1,0,0,0,0,0,72,47887943
12500000,1,0,0,0,0,0,69,48092846
45000000,1,0,0,0,0,0,73,422783777
40000000,1,0,0,0,0,0,86,22717758
7000000,1,0,0,0,0,0,99,1889522
12000000,1,0,0,0,0,0,89,27281507
19000000,1,0,0,0,0,0,92,2119994
20000000,1,0,0,0,0,0,88,1064277
99000000,1,0,0,0,0,0,88,130174897
15000000,1,0,0,0,0,0,85,12701880
165000000,1,0,0,0,0,0,100,665426
105000000,1,0,0,0,0,0,97,104374107
40000000,1,0,0,0,0,0,113,95149435
37000000,1,0,0,0,0,0,111,108244774
20000000,1,0,0,0,0,0,127,75597042
24000000,1,0,0,0,0,0,83,100491683
60000000,1,0,0,0,0,0,104,139225854
8200000,1,0,0,0,0,0,174,163214286
30000000,1,0,0,0,0,0,77,45542421
24000000,1,0,0,0,0,0,118,13000000
90000000,1,0,0,0,0,0,82,245823397
200000000,1,0,0,0,0,0,103,414984497
30000000,1,0,0,0,0,0,74,191796233
180000000,1,0,0,0,0,0,98,223806889
30000000,1,0,0,0,0,0,63,26687172
6000000,0,1,0,0,0,0,110,102308900
2000000,0,0,0,0,1,0,89,653621
700000,0,0,0,0,1,0,97,1141829
1000000,0,0,0,0,1,0,92,582024
10000,0,0,0,0,1,0,108,180483
1000000,0,0,0,0,0,1,78,10018
225000,0,0,0,0,0,1,86,111300
200000,0,0,0,0,0,1,88,59379
500000,0,0,0,0,0,1,87,1332
500000,0,0,0,0,0,1,84,52850
2500000,0,0,0,0,0,1,112,173783
9000,0,0,0,0,0,1,95,4584
600000,0,0,0,0,0,1,93,35688
160000,0,0,0,0,0,1,95,12438
910000,0,0,0,0,0,1,108,9600000
27000,0,0,0,0,0,1,65,8231
2883848,0,0,0,0,0,1,120,25000000
2100000,0,0,0,0,0,1,172,23650000
10000000,0,0,0,0,0,1,93,365734
2000000,0,0,0,0,0,1,106,2436
4000000,0,0,0,0,0,1,152,36000000
2300000,0,0,0,0,0,1,92,7927
500000,0,0,0,0,0,1,89,133778
65000,0,0,0,0,0,1,98,389804
2800000,0,1,0,0,0,0,102,22202612
2500000,0,1,0,0,0,0,87,33349949
11000000,0,1,0,0,0,0,102,167780960
20000000,0,1,0,0,0,0,93,11784000
26000000,0,1,0,0,0,0,175,50800000
200000000,0,1,0,0,0,0,96,137850096
20000000,0,1,0,0,0,0,95,51431160
7000000,0,1,0,0,0,0,100,2148212
40000000,0,1,0,0,0,0,128,107458785
28000000,0,1,0,0,0,0,89,8119205
11000000,0,1,0,0,0,0,101,41227069
26000000,0,1,0,0,0,0,100,23222861
26000000,0,1,0,0,0,0,102,47285499
3000000,0,1,0,0,0,0,98,24629916
2600000,0,1,0,0,0,0,91,2850263
3500000,0,1,0,0,0,0,88,83400000
28000000,0,1,0,0,0,0,81,66950483
200000000,0,1,0,0,0,0,108,334185206
170000000,0,1,0,0,0,0,113,76846624
45000000,0,1,0,0,0,0,86,25200412
20000000,0,1,0,0,0,0,90,25077977
90000000,0,1,0,0,0,0,92,85884815
75000000,0,1,0,0,0,0,88,219613391
60000000,0,1,0,0,0,0,92,217326336
777000,0,1,0,0,0,0,112,115000000
4000000,0,1,0,0,0,0,93,39200000
65000000,0,1,0,0,0,0,118,85911262
105000000,0,1,0,0,0,0,83,90646554
62000000,0,1,0,0,0,0,140,172071312
12000000,0,1,0,0,0,0,104,18595716
32000000,0,1,0,0,0,0,95,82301521
110000000,0,1,0,0,0,0,120,24004159
120000000,0,1,0,0,0,0,95,84037039
30000000,0,1,0,0,0,0,114,31655091
18000000,0,1,0,0,0,0,97,27141959
50000000,0,1,0,0,0,0,99,16671505
40000000,0,1,0,0,0,0,108,118500000
40000000,0,1,0,0,0,0,118,87666629
19000000,0,1,0,0,0,0,116,210609762
20000000,0,1,0,0,0,0,111,5205343
14000000,0,1,0,0,0,0,106,32645546
80000000,0,1,0,0,0,0,99,109993847
150000000,0,1,0,0,0,0,91,126597121
15000000,0,1,0,0,0,0,92,73326666
20000000,0,1,0,0,0,0,91,94497271
100000000,0,1,0,0,0,0,132,58220776
15000000,0,1,0,0,0,0,88,47811275
15000000,0,1,0,0,0,0,88,47811275
165000000,0,1,0,0,0,0,102,222487711
40000000,0,1,0,0,0,0,107,20113965
18000000,0,1,0,0,0,0,130,114968774
20000000,0,1,0,0,0,0,93,38037513
10000000,0,1,0,0,0,0,90,40485039
17500000,0,1,0,0,0,0,93,7017178
30000000,0,1,0,0,0,0,110,4357000
150000000,0,1,0,0,0,0,96,114053579
185000000,0,1,0,0,0,0,93,237282182
30000000,0,1,0,0,0,0,89,58715510
17000000,0,1,0,0,0,0,96,82234139
20000000,0,1,0,0,0,0,124,2000000
50000000,0,1,0,0,0,0,100,100328194
18000000,0,1,0,0,0,0,91,16702864
85000000,0,1,0,0,0,0,82,43575716
60000000,0,1,0,0,0,0,87,93375151
150000000,0,1,0,0,0,0,115,206456431
20000000,0,1,0,0,0,0,116,6002756
60000000,0,1,0,0,0,0,94,82569532
40000000,0,1,0,0,0,0,94,138614544
60000000,0,1,0,0,0,0,99,73701902
95000000,0,1,0,0,0,0,105,201148159
55000000,0,1,0,0,0,0,90,7871693
