budget,content_rating,duration,Action Related,Adventure Genre,Animation Genre,Biography Genre,Comedy Genre,Crime Genre,Documentary Genre,Drama Genre,Family Genre
125000000,3,125,1,0,0,0,0,0,0,0,0
80000000,3,126,1,0,0,0,0,0,0,0,0
3000000,4,87,1,0,0,0,0,0,0,0,0
30000000,4,111,1,0,0,0,0,0,0,0,0
15000000,4,107,1,0,0,0,0,0,0,0,0
28000000,2,118,1,1,0,0,0,0,0,0,0
18000000,2,115,1,1,0,0,0,0,0,0,0
150000000,3,128,1,1,0,0,0,0,0,0,0
35000000,3,126,1,1,0,0,0,0,0,0,0
21000000,3,87,1,1,0,0,0,0,0,0,0
100000000,3,101,1,1,0,0,0,0,0,0,0
100000000,3,101,1,1,0,0,0,0,0,0,0
35000000,3,132,1,1,0,0,0,0,0,0,0
4500000,4,103,1,1,0,0,0,0,0,0,0
70000000,2,95,1,1,1,0,1,1,0,0,1
165000000,2,102,1,1,1,0,1,0,0,1,1
70000000,2,90,1,1,1,0,1,0,0,1,1
90000000,2,94,1,1,1,0,1,0,0,0,1
150000000,2,90,1,1,1,0,1,0,0,0,1
145000000,2,95,1,1,1,0,1,0,0,0,1
130000000,2,92,1,1,1,0,1,0,0,0,1
150000000,2,89,1,1,1,0,1,0,0,0,1
145000000,2,102,1,1,1,0,1,0,0,0,1
80000000,2,115,1,1,1,0,1,0,0,0,1
130000000,2,90,1,1,1,0,1,0,0,0,1
150000000,2,88,1,1,1,0,1,0,0,0,1
30000000,1,82,1,1,1,0,1,0,0,0,1
150000000,2,88,1,1,1,0,1,0,0,0,1
175000000,2,94,1,1,1,0,1,0,0,0,1
750000,4,86,1,1,1,0,1,0,0,0,0
30000000,3,79,1,1,1,0,0,0,0,1,0
92000000,2,115,1,1,1,0,0,0,0,0,1
80000000,2,101,1,1,1,0,0,0,0,0,1
120000000,2,95,1,1,1,0,0,0,0,0,1
5000000,2,82,1,1,1,0,0,0,0,0,1
75000000,2,94,1,1,1,0,0,0,0,0,1
150000000,3,115,1,1,1,0,0,0,0,0,0
137000000,3,106,1,1,1,0,0,0,0,0,0
100000000,3,122,1,1,0,1,0,0,0,1,0
110000000,2,120,1,1,0,0,1,0,0,0,0
98000000,3,124,1,1,0,0,1,0,0,0,0
80000000,3,110,1,1,0,0,1,0,0,0,0
50000000,3,114,1,1,0,0,1,0,0,0,0
50000000,3,107,1,1,0,0,1,0,0,0,0
75000000,3,116,1,1,0,0,1,0,0,0,0
70000000,4,100,1,1,0,0,1,0,0,0,0
9400000,1,197,1,1,0,0,1,1,0,0,0
45000000,2,101,1,1,0,0,1,1,0,0,0
60000000,2,89,1,1,0,0,1,1,0,0,0
33000000,3,95,1,1,0,0,1,1,0,0,0
120000000,3,107,1,1,0,0,1,1,0,0,0
25000000,4,98,1,1,0,0,1,1,0,0,0
26000000,2,102,1,1,0,0,1,1,0,0,1
40000000,4,104,1,1,0,0,1,1,0,0,0
90000000,3,129,1,1,0,0,1,1,0,0,0
92000000,3,94,1,1,0,0,1,1,0,0,0
2000000,3,91,1,1,0,0,1,0,0,1,0
34000000,4,102,1,1,0,0,1,0,0,1,0
48000000,4,114,1,1,0,0,1,0,0,1,0
110000000,2,108,1,1,0,0,1,0,0,0,1
140000000,3,88,1,1,0,0,1,0,0,0,1
79000000,2,94,1,1,0,0,1,0,0,0,1
17000000,2,96,1,1,0,0,1,0,0,0,1
65000000,2,101,1,1,0,0,1,0,0,0,1
225000000,3,106,1,1,0,0,1,0,0,0,1
100000000,2,131,1,1,0,0,1,0,0,0,1
55000000,2,92,1,1,0,0,1,0,0,0,1
26000000,2,100,1,1,0,0,1,0,0,0,1
75000000,2,110,1,1,0,0,1,0,0,0,1
38000000,2,100,1,1,0,0,1,0,0,0,1
38000000,2,84,1,1,0,0,1,0,0,0,1
27000000,2,89,1,1,0,0,1,0,0,0,1
35000000,2,88,1,1,0,0,1,0,0,0,1
25000000,2,88,1,1,0,0,1,0,0,0,1
40000000,3,108,1,1,0,0,1,0,0,0,1
25000000,3,99,1,1,0,0,1,0,0,0,0
70000000,3,130,1,1,0,0,1,0,0,0,0
25000000,3,94,1,1,0,0,1,0,0,0,0
88000000,3,118,1,1,0,0,1,0,0,0,0
51000000,3,107,1,1,0,0,1,0,0,0,0
3000000,3,81,1,1,0,0,1,0,0,0,0
70000000,3,98,1,1,0,0,1,0,0,0,0
35000000,2,110,1,1,0,0,1,0,0,0,0
58000000,4,108,1,1,0,0,1,0,0,0,0
70000000,3,112,1,1,0,0,1,0,0,0,0
65000000,3,136,1,1,0,0,1,0,0,0,0
130000000,3,117,1,1,0,0,1,0,0,0,0
175000000,3,123,1,1,0,0,1,0,0,0,0
135000000,3,112,1,1,0,0,1,0,0,0,0
125000000,3,101,1,1,0,0,1,0,0,0,0
125000000,3,101,1,1,0,0,1,0,0,0,0
26000000,2,94,1,1,0,0,1,0,0,0,0
70000000,3,116,1,1,0,0,1,0,0,0,0
70000000,3,97,1,1,0,0,1,0,0,0,0
85000000,3,104,1,1,0,0,1,0,0,0,0
55000000,3,110,1,1,0,0,1,0,0,0,0
34000000,4,124,1,1,0,0,0,1,0,1,1
44000000,3,130,1,1,0,0,0,1,0,1,0
25000000,4,105,1,1,0,0,0,1,0,1,0
25000000,3,93,1,1,0,0,0,1,0,0,0
125000000,3,129,1,1,0,0,0,1,0,0,0
90000000,3,128,1,1,0,0,0,1,0,0,0
50000000,3,110,1,1,0,0,0,1,0,0,0
80000000,3,117,1,1,0,0,0,1,0,0,0
45000000,3,111,1,1,0,0,0,1,0,0,0
87000000,3,101,1,1,0,0,0,1,0,0,0
25000000,4,116,1,1,0,0,0,1,0,0,0
40000000,4,116,1,1,0,0,0,1,0,0,0
60000000,4,124,1,1,0,0,0,1,0,0,0
9000000,3,106,1,1,0,0,0,0,0,1,0
125000000,3,138,1,1,0,0,0,0,0,1,0
175000000,3,128,1,1,0,0,0,0,0,1,0
170000000,3,132,1,1,0,0,0,0,0,1,0
115000000,3,120,1,1,0,0,0,0,0,1,0
94000000,3,192,1,1,0,0,0,0,0,1,0
94000000,3,172,1,1,0,0,0,0,0,1,0
200000000,3,156,1,1,0,0,0,0,0,1,0
20000000,4,107,1,1,0,0,0,0,0,1,0
150000000,3,138,1,1,0,0,0,0,0,1,0
58000000,3,125,1,1,0,0,0,0,0,1,0
130000000,4,194,1,1,0,0,0,0,0,1,0
20000000,3,107,1,1,0,0,0,0,0,1,0
48000000,3,155,1,1,0,0,0,0,0,1,0
180000000,3,110,1,1,0,0,0,0,0,1,0
55000000,2,188,1,1,0,0,0,0,0,1,0
40000000,4,117,1,1,0,0,0,0,0,1,0
170000000,3,130,1,1,0,0,0,0,0,1,0
80000000,4,177,1,1,0,0,0,0,0,1,0
45000000,3,111,1,1,0,0,0,0,0,1,0
80000000,3,114,1,1,0,0,0,0,0,1,0
45000000,3,113,1,1,0,0,0,0,0,1,0
160000000,3,98,1,1,0,0,0,0,0,1,0
110000000,3,114,1,1,0,0,0,0,0,1,0
140000000,3,130,1,1,0,0,0,0,0,1,0
92000000,3,113,1,1,0,0,0,0,0,1,0
75000000,3,124,1,1,0,0,0,0,0,1,0
85000000,4,124,1,1,0,0,0,0,0,1,0
80000000,4,118,1,1,0,0,0,0,0,1,0
25000000,4,117,1,1,0,0,0,0,0,1,0
40000000,4,139,1,1,0,0,0,0,0,1,0
12000000,4,110,1,1,0,0,0,0,0,1,0
38000000,3,110,1,1,0,0,0,0,0,1,0
780000,3,90,1,1,0,0,0,0,0,1,0
100000000,2,104,1,1,0,0,0,0,0,0,1
50000000,2,93,1,1,0,0,0,0,0,0,1
225000000,2,150,1,1,0,0,0,0,0,0,1
150000000,2,103,1,1,0,0,0,0,0,0,1
150000000,2,109,1,1,0,0,0,0,0,0,1
180000000,2,97,1,1,0,0,0,0,0,0,1
45000000,2,93,1,1,0,0,0,0,0,0,1
65000000,2,98,1,1,0,0,0,0,0,0,1
90000000,2,114,1,1,0,0,0,0,0,0,1
135000000,2,107,1,1,0,0,0,0,0,0,1
190000000,2,130,1,1,0,0,0,0,0,0,1
35000000,2,83,1,1,0,0,0,0,0,0,1
80000000,3,130,1,1,0,0,0,0,0,0,1
18000000,2,103,1,1,0,0,0,0,0,0,0
18000000,2,108,1,1,0,0,0,0,0,0,0
35000000,2,101,1,1,0,0,0,0,0,0,0
100000000,3,121,1,1,0,0,0,0,0,0,0
125000000,3,106,1,1,0,0,0,0,0,0,0
125000000,3,106,1,1,0,0,0,0,0,0,0
57000000,3,103,1,1,0,0,0,0,0,0,0
140000000,3,126,1,1,0,0,0,0,0,0,0
185000000,3,122,1,1,0,0,0,0,0,0,0
48000000,3,127,1,1,0,0,0,0,0,0,0
95000000,3,117,1,1,0,0,0,0,0,0,0
300000000,3,169,1,1,0,0,0,0,0,0,0
225000000,3,151,1,1,0,0,0,0,0,0,0
250000000,3,136,1,1,0,0,0,0,0,0,0
140000000,3,143,1,1,0,0,0,0,0,0,0
95000000,3,102,1,1,0,0,0,0,0,0,0
230000000,3,153,1,1,0,0,0,0,0,0,0
55000000,3,104,1,1,0,0,0,0,0,0,0
90000000,3,106,1,1,0,0,0,0,0,0,0
70000000,3,99,1,1,0,0,0,0,0,0,0
170000000,3,112,1,1,0,0,0,0,0,0,0
150000000,3,115,1,1,0,0,0,0,0,0,0
160000000,3,123,1,1,0,0,0,0,0,0,0
150000000,3,99,1,1,0,0,0,0,0,0,0
25000000,4,92,1,1,0,0,0,0,0,0,0
85000000,3,120,1,1,0,0,0,0,0,0,0
65000000,4,122,1,1,0,0,0,0,0,0,0
145000000,3,112,1,1,0,0,0,0,0,0,0
200000000,3,116,1,1,0,0,0,0,0,0,0
200000000,3,135,1,1,0,0,0,0,0,0,0
139000000,3,121,1,1,0,0,0,0,0,0,0
115000000,2,136,1,1,0,0,0,0,0,0,0
115000000,2,142,1,1,0,0,0,0,0,0,0
11000000,2,125,1,1,0,0,0,0,0,0,0
18000000,2,127,1,1,0,0,0,0,0,0,0
32500000,2,134,1,1,0,0,0,0,0,0,0
237000000,3,178,1,1,0,0,0,0,0,0,0
6000000,3,107,1,1,0,0,0,0,0,0,0
225000000,3,143,1,1,0,0,0,0,0,0,0
113000000,3,140,1,1,0,0,0,0,0,0,0
200000000,3,142,1,1,0,0,0,0,0,0,0
78000000,3,110,1,1,0,0,0,0,0,0,0
15000000,4,101,1,1,0,0,0,0,0,0,0
45000000,2,100,1,1,0,0,0,0,0,0,0
22000000,3,104,1,1,0,0,0,0,0,0,0
30000000,3,95,1,1,0,0,0,0,0,0,0
18000000,3,101,1,1,0,0,0,0,0,0,0
60000000,3,101,1,1,0,0,0,0,0,0,0
7500000,3,100,1,1,0,0,0,0,0,0,0
150000000,3,119,1,1,0,0,0,0,0,0,0
200000000,3,149,1,1,0,0,0,0,0,0,0
50000000,4,102,1,1,0,0,0,0,0,0,0
35000000,4,92,1,1,0,0,0,0,0,0,0
40000000,3,109,1,1,0,0,0,0,0,0,0
115000000,3,100,1,1,0,0,0,0,0,0,0
98000000,3,130,1,1,0,0,0,0,0,0,0
60000000,3,100,1,1,0,0,0,0,0,0,0
85000000,4,102,1,1,0,0,0,0,0,0,0
25000000,3,85,1,1,0,0,0,0,0,0,0
45000000,4,106,1,1,0,0,0,0,0,0,0
