budget,content_rating,duration,Action Related,Adventure Genre,Animation Genre,Biography Genre,Comedy Genre,Crime Genre,Documentary Genre,Drama Genre,gross,
70000000,2,90,1,1,1,0,1,0,0,1,23159305,1999
33000000,3,95,1,1,0,0,1,1,0,0,205399422,1999
34000000,4,102,1,1,0,0,1,0,0,1,11227940,1999
48000000,4,114,1,1,0,0,1,0,0,1,60652036,1999
75000000,2,110,1,1,0,0,1,0,0,0,97360069,1999
115000000,2,136,1,1,0,0,0,0,0,0,474544677,1999
7500000,3,100,1,1,0,0,0,0,0,0,12610552,1999
85000000,4,102,1,1,0,0,0,0,0,0,32694788,1999
30000000,3,100,1,1,0,0,0,0,0,0,11576087,1999
65000000,3,93,1,0,0,0,1,1,0,0,68208190,1999
65000000,3,121,1,0,0,0,1,0,0,0,29655590,1999
27000000,4,82,1,0,0,0,1,0,0,0,31768374,1999
170000000,3,106,1,0,0,0,1,0,0,0,113745408,1999
30000000,4,110,1,0,0,0,0,1,0,1,15156200,1999
50000000,4,90,1,0,0,0,0,1,0,1,81517441,1999
66000000,3,113,1,0,0,0,0,1,0,0,87704396,1999
83000000,4,121,1,0,0,0,0,0,0,0,66862068,1999
63000000,4,136,1,0,0,0,0,0,0,0,171383253,1999
24000000,4,83,1,0,0,0,0,0,0,0,10431220,1999
60000000,4,105,1,0,0,0,0,0,0,0,73648142,1999
90000000,1,82,0,1,1,0,1,0,0,0,245823397,1999
10000000,4,130,0,1,0,0,1,0,0,1,30651422,1999
24000000,1,87,0,1,0,0,1,0,0,0,16290976,1999
17000000,1,73,0,1,0,0,1,0,0,0,11634458,1999
45000000,2,102,0,1,0,0,1,0,0,0,71423726,1999
8000000,4,126,0,1,0,0,0,0,0,1,1997807,1999
5000000,1,77,0,0,1,0,1,0,0,0,19421271,1999
21000000,4,81,0,0,1,0,1,0,0,0,52008288,1999
80000000,1,74,0,0,1,0,0,0,0,0,60507228,1999
2000000,4,118,0,0,0,1,0,1,0,1,11533945,1999
500000,4,108,0,0,0,1,0,0,1,0,2047570,1999
24000000,4,127,0,0,0,1,0,0,0,1,28871190,1999
38000000,4,146,0,0,0,1,0,0,0,1,50668906,1999
68000000,4,157,0,0,0,1,0,0,0,1,28965197,1999
55000000,3,85,0,0,0,0,1,0,0,0,66365290,1999
8000000,3,89,0,0,0,0,1,0,0,0,4692814,1999
15000000,3,97,0,0,0,0,1,0,0,0,11614236,1999
40000000,3,90,0,0,0,0,1,0,0,0,28535768,1999
11000000,4,95,0,0,0,0,1,0,0,0,101736215,1999
12000000,4,110,0,0,0,0,1,0,0,0,175370,1999
4000000,4,94,0,0,0,0,1,0,0,0,2800000,1999
10000000,4,89,0,0,0,0,1,0,0,0,10824921,1999
30000000,4,103,0,0,0,0,1,1,0,0,106694016,1999
6500000,4,102,0,0,0,0,1,1,0,0,16842303,1999
15000000,3,111,0,0,0,0,1,1,0,1,1954202,1999
15000000,4,112,0,0,0,0,1,1,0,1,4485485,1999
18000000,2,97,0,0,0,0,1,1,0,0,27141959,1999
1700000,3,98,0,0,0,0,1,1,0,0,1943649,1999
3500000,4,87,0,0,0,0,1,1,0,0,3071947,1999
23000000,3,114,0,0,0,0,1,0,0,1,18653615,1999
34200000,3,93,0,0,0,0,1,0,0,1,163479795,1999
55000000,3,122,0,0,0,0,1,0,0,1,22362500,1999
312000,3,102,0,0,0,0,1,0,0,1,1281176,1999
1200000,4,85,0,0,0,0,1,0,0,1,2199853,1999
8000000,4,103,0,0,0,0,1,0,0,1,14879556,1999
2000000,4,84,0,0,0,0,1,0,0,1,6026908,1999
3000000,4,97,0,0,0,0,1,0,0,1,39852,1999
28000000,4,112,0,0,0,0,1,0,0,1,4554569,1999
9000000,4,120,0,0,0,0,1,0,0,1,34074895,1999
13000000,4,112,0,0,0,0,1,0,0,1,22858926,1999
16000000,3,97,0,0,0,0,1,0,0,1,38176108,1999
8000000,3,91,0,0,0,0,1,0,0,1,17843379,1999
21000000,3,102,0,0,0,0,1,0,0,1,15593,1999
6000000,4,101,0,0,0,0,1,0,0,1,6851636,1999
7000000,4,96,0,0,0,0,1,0,0,1,7292175,1999
38000000,4,124,0,0,0,0,1,0,0,1,8406264,1999
50000000,4,95,0,0,0,0,1,0,0,1,27067160,1999
6000000,4,106,0,0,0,0,1,0,0,1,25047631,1999
35000000,3,112,0,0,0,0,1,0,0,1,26494611,1999
16000000,4,106,0,0,0,0,1,0,0,1,52885587,1999
100000000,2,132,0,0,0,0,1,0,0,1,58220776,1999
24000000,4,124,0,0,0,0,1,0,0,1,8427204,1999
22000000,2,77,0,0,0,0,1,0,0,0,9694105,1999
65000000,2,94,0,0,0,0,1,0,0,0,36830057,1999
20000000,4,92,0,0,0,0,1,0,0,0,4002955,1999
15000000,4,95,0,0,0,0,1,0,0,0,4193025,1999
70000000,2,116,0,0,0,0,1,0,0,0,152149590,1999
10000000,3,95,0,0,0,0,1,0,0,0,63319509,1999
14000000,3,81,0,0,0,0,1,0,0,0,30628981,1999
17000000,4,88,0,0,0,0,1,0,0,0,65535067,1999
40000,4,90,0,0,0,0,1,0,0,0,277233,1999
60000000,4,189,0,0,0,0,0,1,0,1,136801374,1999
48000000,4,118,0,0,0,0,0,1,0,1,66488090,1999
9000000,4,89,0,0,0,0,0,1,0,1,3193102,1999
22000000,4,142,0,0,0,0,0,1,0,1,19283782,1999
21500000,4,117,0,0,0,0,0,1,0,1,24362501,1999
7000000,4,95,0,0,0,0,0,1,0,1,14003141,1999
40000000,4,139,0,0,0,0,0,1,0,1,81292135,1999
70000000,4,105,0,0,0,0,0,1,0,0,116735231,1999
48000000,4,113,0,0,0,0,0,1,0,0,69304264,1999
1300000,2,105,0,0,0,0,0,0,0,1,609042,1999
40000000,3,106,0,0,0,0,0,0,0,1,13376506,1999
14000000,4,107,0,0,0,0,0,0,0,1,4741987,1999
15000000,4,122,0,0,0,0,0,0,0,1,130058047,1999
25000000,4,145,0,0,0,0,0,0,0,1,13038660,1999
32000000,4,132,0,0,0,0,0,0,0,1,2899970,1999
63000000,4,151,0,0,0,0,0,0,0,1,37023395,1999
2500000,4,107,0,0,0,0,0,0,0,1,1282084,1999
37000000,4,188,0,0,0,0,0,0,0,1,22450975,1999
4000000,4,106,0,0,0,0,0,0,0,1,399793,1999
500000,4,111,0,0,0,0,0,0,0,1,985341,1999
7000000,2,100,0,0,0,0,0,0,0,1,2148212,1999
30000000,4,100,0,0,0,0,0,0,0,1,11900000,1999
75000000,3,148,0,0,0,0,0,0,0,1,39251128,1999
64000000,4,133,0,0,0,0,0,0,0,1,31054924,1999
36000000,3,127,0,0,0,0,0,0,0,1,14378353,1999
25000000,3,100,0,0,0,0,0,0,0,1,10114315,1999
40000000,3,107,0,0,0,0,0,0,0,1,293501675,1999
95000000,4,116,0,0,0,0,0,0,0,1,102678089,1999
60000000,3,128,0,0,0,0,0,0,0,1,22326247,1999
55000000,3,131,0,0,0,0,0,0,0,1,52799004,1999
10500000,4,97,0,0,0,0,0,0,0,1,38201895,1999
2000000,4,92,0,0,0,0,0,0,0,1,7680,1999
6000000,4,90,0,0,0,0,0,0,0,1,4859475,1999
50000000,3,137,0,0,0,0,0,0,0,1,35168395,1999
35000000,4,148,0,0,0,0,0,0,0,1,630779,1999
34000000,4,109,0,0,0,0,0,0,0,1,10654581,1999
55000000,4,156,0,0,0,0,0,0,0,1,75530832,1999
55000000,4,121,0,0,0,0,0,0,0,1,16640210,1999
55000000,4,126,0,0,0,0,0,0,0,1,34098563,1999
13000000,4,99,0,0,0,0,0,0,0,1,5871603,1999
80000000,3,113,0,0,0,0,0,0,0,0,91188905,1999
29000000,4,103,0,0,0,0,0,0,0,0,50041732,1999
60000,4,81,0,0,0,0,0,0,0,0,140530114,1999
19000000,4,93,0,0,0,0,0,0,0,0,40846082,1999
12000000,4,99,0,0,0,0,0,0,0,0,21133087,1999
6500000,3,91,0,0,0,0,0,0,0,0,10149779,1999
21000000,4,104,0,0,0,0,0,0,0,0,17757087,1999
5000000,2,82,1,1,1,0,0,0,0,0,9628751,2000
75000000,2,94,1,1,1,0,0,0,0,0,22751979,2000
92000000,3,94,1,1,0,0,1,1,0,0,125305545,2000
55000000,3,110,1,1,0,0,1,0,0,0,56932305,2000
34000000,4,124,1,1,0,0,0,1,0,1,23360779,2000
40000000,4,116,1,1,0,0,0,1,0,0,30199105,2000
140000000,3,130,1,1,0,0,0,0,0,1,182618434,2000
75000000,3,124,1,1,0,0,0,0,0,1,68473360,2000
15000000,4,101,1,1,0,0,0,0,0,0,12801190,2000
44000000,3,119,1,1,0,0,0,0,0,0,21471685,2000
75000000,3,104,1,1,0,0,0,0,0,0,157299717,2000
125000000,3,123,1,1,0,0,0,0,0,0,215397307,2000
65000000,3,130,1,1,0,0,0,0,0,0,90454043,2000
30000000,3,99,1,0,0,0,1,1,0,0,117559438,2000
45000000,3,109,1,0,0,0,1,1,0,0,106807667,2000
1000000,4,82,1,0,0,0,1,0,0,0,12996,2000
600000,3,106,1,0,0,0,0,1,0,1,171988,2000
15000000,3,106,1,0,0,0,0,1,0,1,35007180,2000
40000000,4,102,1,0,0,0,0,1,0,1,14967182,2000
8500000,4,119,1,0,0,0,0,1,0,1,6047856,2000
90000000,3,127,1,0,0,0,0,1,0,0,101643008,2000
25000000,4,115,1,0,0,0,0,1,0,0,55973336,2000
110000000,4,142,1,0,0,0,0,0,0,1,113330342,2000
103000000,4,171,1,0,0,0,0,0,0,1,187670866,2000
65000000,4,135,1,0,0,0,0,0,0,1,32598931,2000
28000000,4,99,1,0,0,0,0,0,0,0,33000377,2000
95000000,4,119,1,0,0,0,0,0,0,0,73209340,2000
82000000,3,123,1,0,0,0,0,0,0,0,34543701,2000
70000000,3,106,1,0,0,0,0,0,0,0,17473245,2000
100000000,1,78,0,1,1,0,1,0,0,0,89296573,2000
76000000,2,92,0,1,1,0,1,0,0,0,26000610,2000
95000000,2,89,0,1,1,0,1,0,0,0,50802661,2000
127500000,2,82,0,1,1,0,0,0,0,0,137748063,2000
60000000,4,152,0,1,0,0,1,0,0,1,32522352,2000
85000000,1,100,0,1,0,0,1,0,0,0,66941559,2000
13000000,2,89,0,1,0,0,1,0,0,0,60008303,2000
90000000,3,143,0,1,0,0,0,0,0,1,233630478,2000
34000000,3,114,0,1,0,0,0,0,0,1,6543194,2000
50000000,4,119,0,1,0,0,0,0,0,1,39778599,2000
15000000,4,90,0,1,0,0,0,0,0,0,26421314,2000
90000000,2,114,0,1,0,0,0,0,0,0,60874615,2000
30000000,1,77,0,0,1,0,1,0,0,1,45542421,2000
36000000,4,95,0,0,0,1,1,0,0,0,2954405,2000
52000000,4,131,0,0,0,1,0,0,0,1,125548685,2000
32000000,4,129,0,0,0,1,0,0,0,1,48814909,2000
6000000,4,122,0,0,0,1,0,0,0,1,8596914,2000
30000000,2,120,0,0,0,1,0,0,0,1,115648585,2000
6000000,3,90,0,0,0,0,1,0,0,0,18621249,2000
55000000,3,108,0,0,0,0,1,0,0,0,166225040,2000
6000000,4,82,0,0,0,0,1,0,0,0,9821335,2000
14000000,4,103,0,0,0,0,1,0,0,0,75078,2000
51000000,4,116,0,0,0,0,1,0,0,0,90567722,2000
9500000,4,98,0,0,0,0,1,0,0,0,57176582,2000
15600000,4,94,0,0,0,0,1,0,0,0,68525609,2000
11000000,4,84,0,0,0,0,1,0,0,0,13592872,2000
18000000,2,94,0,0,0,0,1,1,0,0,17071230,2000
10000000,3,81,0,0,0,0,1,1,0,0,6982680,2000
23000000,3,88,0,0,0,0,1,1,0,0,13019253,2000
24000000,4,98,0,0,0,0,1,1,0,0,57262492,2000
16000000,3,96,0,0,0,0,1,1,0,0,15427192,2000
10000000,4,101,0,0,0,0,1,1,0,0,1631839,2000
3000000,4,115,0,0,0,0,1,0,1,0,38168022,2000
43000000,3,103,0,0,0,0,1,0,0,1,37035515,2000
250000,4,96,0,0,0,0,1,0,0,1,1050600,2000
55000000,4,107,0,0,0,0,1,0,0,1,19389454,2000
60000000,3,125,0,0,0,0,1,0,0,1,75764085,2000
