budget,content_rating,duration,Action Related,Adventure Genre,Animation Genre,Biography Genre,Comedy Genre,Crime Genre,Documentary Genre,Drama Genre,Family Genre,Fantasy Genre,Horror Genre,Musical Genre,Mystery Genre,Romance Genre,Sci-Fi Genre,Sport Genre,Thriller Genre,War Genre,Western Genre,gross
125000000,3,125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107285004
80000000,3,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162831698
3000000,4,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000
30000000,4,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70098138
15000000,4,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15608545
28000000,2,118,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179870271
18000000,2,115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242374454
150000000,3,128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205343774
35000000,3,126,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251188924
21000000,3,87,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480314
100000000,3,101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72660029
100000000,3,101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72660029
35000000,3,132,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56876365
4500000,4,103,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8691
70000000,2,95,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,13596911
165000000,2,102,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,222487711
70000000,2,90,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,23159305
90000000,2,94,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,196573705
150000000,2,90,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,165230261
145000000,2,95,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,143523463
130000000,2,92,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,215395021
150000000,2,89,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,179982968
145000000,2,102,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,176997107
80000000,2,115,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,195329763
130000000,2,90,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,149234747
150000000,2,88,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,119420252
30000000,1,82,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,80920948
150000000,2,88,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,21379315
175000000,2,94,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,198332128
750000,4,86,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5518918
30000000,3,79,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,31743332
92000000,2,115,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,261437578
80000000,2,101,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,55673333
120000000,2,95,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,84037039
5000000,2,82,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9628751
75000000,2,94,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,22751979
150000000,3,115,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,82161969
137000000,3,106,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,32131830
100000000,3,122,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,24985612
110000000,2,120,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24004159
98000000,3,124,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000000
80000000,3,110,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130313314
50000000,3,114,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60470220
50000000,3,107,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80270227
75000000,3,116,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45434443
70000000,4,100,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17218080
9400000,1,197,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46300000
45000000,2,101,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8129455
60000000,2,89,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66734992
33000000,3,95,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,205399422
120000000,3,107,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100685880
25000000,4,98,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44455658
26000000,2,102,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,47285499
40000000,4,104,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,21413502
90000000,3,129,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,64685359
92000000,3,94,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,125305545
2000000,3,91,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,124494
34000000,4,102,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11227940
48000000,4,114,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,60652036
110000000,2,108,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,250863268
140000000,3,88,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,190418803
79000000,2,94,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,103812241
17000000,2,96,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,42660000
65000000,2,101,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,28045540
225000000,3,106,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,179020854
100000000,2,131,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,173005002
55000000,2,92,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,105263257
26000000,2,100,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,23222861
75000000,2,110,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,97360069
38000000,2,100,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,85570368
38000000,2,84,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,111760631
27000000,2,89,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,38536376
35000000,2,88,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,112692062
25000000,2,88,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,78656813
40000000,3,108,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,53955614
25000000,3,99,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11100000
70000000,3,130,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50016394
25000000,3,94,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,79817937
88000000,3,118,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,37899638
