budget,content_rating,duration,Action Related,Adventure Genre,Animation Genre,Biography Genre,Comedy Genre,Crime Genre,Documentary Genre,Drama Genre,Family Genre,Fantasy Genre,Horror Genre,Musical Genre,Mystery Genre,Romance Genre,Sci-Fi Genre,Sport Genre,Thriller Genre,War Genre,Western Genre,made_money,year
70000000,2,90,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1999
33000000,3,95,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1999
34000000,4,102,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1999
48000000,4,114,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1999
75000000,2,110,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1999
115000000,2,136,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1999
7500000,3,100,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1999
85000000,4,102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999
30000000,3,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999
65000000,3,93,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1999
65000000,3,121,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1999
27000000,4,82,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1999
170000000,3,106,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1999
30000000,4,110,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1999
50000000,4,90,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1999
66000000,3,113,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1999
83000000,4,121,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1999
63000000,4,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1999
24000000,4,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999
60000000,4,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1999
90000000,1,82,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1999
10000000,4,130,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1999
24000000,1,87,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1999
17000000,1,73,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1999
